DATE,NGMP26420
2013-01-01,429918.372
2014-01-01,441959.625
2015-01-01,461490.275
2016-01-01,453323.711
2017-01-01,472739.076
2018-01-01,505145.965
2019-01-01,505257.585
2020-01-01,489035.321
2021-01-01,537066.232
